province,accident_count,mean_risk_score,critical_count,high_or_critical_count,actual_fatal_count,critical_rate,high_or_critical_rate,actual_fatal_rate,smoothed_mean_risk,smoothed_critical_rate,high_risk_vehicle,high_risk_road_type,high_risk_peak_hour,high_risk_weather,risk_norm,volume_norm,critical_norm,province_priority_score,evidence_level
กระบี่,117,0.37983837737660064,10,40,15,0.08547008547008547,0.3418803418803419,0.1282051282051282,0.37521123506495,0.0867253186450109,รถจักรยานยนต์,ทางตรง,19,แจ่มใส,0.6703864935657524,0.21618952962223528,0.40721689866833255,48.15,ข้อมูลปานกลาง
กรุงเทพมหานคร,2653,0.09666118420382888,7,81,57,0.002638522427440633,0.030531473803241612,0.02148511119487373,0.10658258973802757,0.005746238338527921,รถจักรยานยนต์,ทางตรง,0,แจ่มใส,0.0,1.0,0.0,30.0,ข้อมูลค่อนข้างมาก
กาญจนบุรี,300,0.5220929623758149,32,267,38,0.10666666666666667,0.89,0.12666666666666668,0.4840190914219409,0.10204848536491841,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,17,แจ่มใส,0.9419261024812379,0.45195809573789614,0.4842720147037637,70.34,ข้อมูลค่อนข้างมาก
กาฬสินธุ์,138,0.4591083322833711,8,100,17,0.057971014492753624,0.7246376811594203,0.12318840579710146,0.42158276349217266,0.07066972330238389,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,19,แจ่มใส,0.7861107355049453,0.257427582904661,0.32647864235629004,53.56,ข้อมูลปานกลาง
กำแพงเพชร,226,0.5300023535689937,23,209,31,0.10176991150442478,0.9247787610619469,0.13716814159292035,0.48085975387308116,0.09760550351523732,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,19,แจ่มใส,0.9340416967850653,0.38091719932141954,0.4619297346628038,67.37,ข้อมูลปานกลาง
ขอนแก่น,318,0.4884240997790457,34,265,41,0.1069182389937107,0.8333333333333334,0.1289308176100629,0.46004452532480483,0.10243874197599848,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,6,แจ่มใส,0.8820954567916859,0.46658139876748306,0.48623448558201243,67.83,ข้อมูลค่อนข้างมาก
จันทบุรี,351,0.5099849365388806,60,271,75,0.17094017094017094,0.7720797720797721,0.21367521367521367,0.4789012429737892,0.15259289167620257,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,19,แจ่มใส,0.9291540599777964,0.49136614815610774,0.7384430463481605,75.97,ข้อมูลค่อนข้างมาก
ฉะเชิงเทรา,431,0.3202990215804726,27,96,51,0.06264501160092807,0.22273781902552203,0.11832946635730858,0.3296207648911781,0.06745648615059767,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,17,แจ่มใส,0.5566114514342129,0.5429282615167017,0.31032033995665786,50.32,ข้อมูลค่อนข้างมาก
ชลบุรี,1513,0.19795456466534903,70,176,84,0.046265697290152015,0.1163251817580965,0.05551883674818242,0.2086081861095505,0.04886509246495187,รถจักรยานยนต์,ทางตรง,20,แจ่มใส,0.2546138805197823,0.8586754742705178,0.21683039601141144,42.83,ข้อมูลค่อนข้างมาก
ชัยนาท,196,0.5014997408234427,38,155,36,0.19387755102040816,0.7908163265306123,0.1836734693877551,0.4570057333021171,0.15817362887151137,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง,19,แจ่มใส,0.8745118830954184,0.3452290273923126,0.7665067201310143,69.41,ข้อมูลปานกลาง
